Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
Intelsat 11 (PAS 11),USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.1,2491,NaN,NaN,39360,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,JM/12_08,-0.751538776,0.000523599
Intelsat 14 (IS-14),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35771,35800,0.00034,1436.05,5613,2517,NaN,40140,16,Space Systems/Loral,USA,Cape Canaveral,Atlas,SC - ASCR,-0.785398163,0.000349066
"Intelsat 15 (IS-15, JCSat 85)",USA,"Intelsat, Ltd./Sky Perfect JSAT Corp.",Commercial,Communications,GEO,NaN,35776,35798,0.00026,1436.12,2550,NaN,4600,40147,17,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,JM/4_10,1.483529864,0.000872665
Intelsat 16 (IS-16),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35783,35791,9.00E-005,1436.19,2450,NaN,4500,40221,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,JM/4_10,-1.014385361,0.00122173
Intelsat 17 (IS-17),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35770,35804,4.00E-004,1436.12,5540,2393,NaN,40508,16,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,SC - ASCR,1.151917306,0.000523599
Intelsat 18 (IS-18),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.09,3200,NaN,NaN,40821,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit,JM/1_12,3.141592654,0.000174533
Intelsat 19 (IS-19),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35768,35801,0.00039,1436.01,5600,NaN,15000,41061,15,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit,ZARYA,2.897246558,0.002268928
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35785,35788,4.00E-005,1436.11,4793,3000,15000,36845,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,JM/12_08,-0.784700032,0.001047198
Intelsat 20 (IS-20),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35780,35790,0.00012,1436.03,6094,2989,19300,41123,18,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,1.195550538,0.000349066
Intelsat 21 (IS-21),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35811,0.00044,1436.39,5984,3600,NaN,41140,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,SC - ASCR,-1.012290966,0.001047198
Intelsat 22,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35781,35792,0.00013,1436.11,6199,NaN,NaN,40993,18,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton,NaN,1.256637061,0.000523599
Intelsat 23,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35781,35797,0.00019,1436.21,3200,1503,NaN,41196,16.5,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,5.358160804,0.000523599
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.1,4100,NaN,11000,39636,16,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,5.733406593,0.000349066
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35779,35794,0.00018,1436.1,3124,1841,5200,35477,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,0.872664626,0.000349066
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.09,2730,2519,9700,35670,15,Hughes Space and Communications Group,USA,Baikonur Cosmodrome,Proton K,NaN,0.455705468,0.000523599
"Intelsat 603 (Intelsat 6 F-3, IS-603)",USA,"Intelsat, Ltd./New Skies Satellites N.V. [SES] (shared capacity)",Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.12,4200,2546,2500,32946,13,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.346273324,0.104545222
"Intelsat 7 (IS-7, PAS-7)",USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.09,3833,2118,NaN,36054,15,Space Systems/Loral,USA,Guiana Space Center,Ariane,JM/12_08,1.199041196,0
Intelsat 701,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.08,3642,1450,3900,34264,0.5,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,JM/12_08,3.140545456,0.000174533
Intelsat 702,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.1,3642,1450,3900,34502,15,Loral Space Systems,USA,Guiana Space Center,Ariane 44LP,JM/12_08,0.829031395,0.000349066
Intelsat 706,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,3653,1450,3900,34836,15,Loral Space Systems,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,2.740166926,0.000174533
"Intelsat 8 (IS-8, PAS-8)",USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.08,3592,2100,NaN,36103,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,2.949606436,0.000349066
Intelsat 805,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.08,3420,2200,4900,35964,14,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,JM/12_08,-0.968483202,0.000174533
"Intelsat 9 (IS-9, PAS-9)",USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,NaN,35782,35792,0.00012,1436.14,3659,2389,9900,36735,15,Hughes,USA,Sea Launch (Odyssey),Zenit 3SL,JM/12_08,-1.012290966,0.000174533
Intelsat 901,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.12,4723,1972,10000,37051,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-0.314333798,0.000174533
Intelsat 902,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.1,4723,1972,8500,37133,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,JM/12_08,1.082976801,25.06467339
Intelsat 903,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35773,358802,0.79307,1436.16,4723,1972,8600,37345,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,JM/12_08,-0.603011257,0.000349066
Intelsat 904,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35782,35789,8.00E-005,1436.07,4680,2350,8500,37310,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,1.048070216,0.000174533
Intelsat 905,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35768,35805,0.00044,1436.12,4723,1984,10000,37412,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,JM/12_08,-0.427954733,0.000174533
Intelsat 906,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35775,35796,0.00025,1436.07,4723,1955,7000,37505,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,JM/12_08,1.120326847,0.000174533
Intelsat 907,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35770,35803,0.00039,1436.1,4685,1973,10000,37667,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,JM/12_08,-0.47909288,0.000349066
Intelsat APR-2 (INSAT 2E),USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35769,35804,0.00042,1436.11,2550,1150,2000,36253,12,Aerospatiale,France,Xichang Satellite Launch Center,Long March CZ3B,JM/12_08,1.449146878,0.003141593
Intelsat New Dawn,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,NaN,35800,35892,0.00109,1439.15,3000,1283,4800,40655,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,SC - ASCR,0.572467995,0.000872665
International Space Station (ISS [first element Zarya]),Multinational,NASA/Multinational,Government,Scientific Research,LEO,Intermediate,401,422,0.00155,92.8,NaN,NaN,NaN,36119,30,Boeing Satellite Systems (prime)/Multinational,Multinational,Baikonur Cosmodrome,Proton,www.satellitedebris.net 12/12,NaN,0.900589894
Interstellar Boundary EXplorer (IBEX),USA,NASA/Goddard Space Flight Center,Government,Space Physics,Elliptical,Deep Highly Eccentric,7000,320000,0.92129,0.22,462,NaN,NaN,39740,NaN,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,SC - ASCR 1/09,NaN,0.191986218
"IPEX (Intelligent Payload Experiment, CalPoly 8)",USA,NASA/Goddard Space Flight Center,Government,Technology Development,LEO,NaN,469,890,0.02986,98.3,1,NaN,NaN,41614,NaN,California Polytechnic University,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.103121749
Iridium 10 (Iridium SV010),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35599,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 11A (Iridium SVO88),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,36148,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 12 (Iridium SV012),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35599,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 13 (Iridium SV013),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,35599,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 14A (Iridium SV092),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,708,711,0.00021,99,689,556,1400,36322,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.509709803
Iridium 15 (Iridium SV015),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35620,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 18 (Iridium SV018),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35620,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 19 (Iridium SV019),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35700,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 20A (Iridium SV089),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,36148,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 21A (Iridium SVO93),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,775,780,0.00035,100.4,689,556,1400,36322,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 22 (Iridium SV022),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35663,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 23 (Iridium SV023),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35663,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 25 (Iridium SV025),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35663,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 29 (Iridium SV029),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35687,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 3 (Iridium SV078),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,36026,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 30 (Iridium SV030),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35687,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 31 (Iridium SVO31),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35687,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 32 (Iridium  SV032),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35687,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 34 (Iridium SV034),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35700,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 35 (Iridium SV035),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35700,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 37 (Iridium SV037),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35700,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 39 (Iridium SV039),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35743,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 40 (Iridium SV040),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35743,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 41 (Iridium SV041),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35743,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 42 (Iridium SV042),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35772,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 43 (Iridium SV043),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35743,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 45 (Iridium SV045),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35784,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 47 (Iridium SV047),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,35784,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 49 (Iridium SV049),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35784,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 5 (Iridium SV005),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35555,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 50 (Iridium SV050),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,35844,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 51 (Iridium SV 051),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35879,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 52 (Iridium SV052),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35844,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 53 (Iridium SV053),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35844,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 54 (Iridium SV054),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,NaN,556,1400,35844,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 55 (Iridium SV055),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35884,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 56 (Iridium SV056),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35844,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 57 (Iridium SV057),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35884,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 58 (Iridium SV058),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35884,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 59 (Iridium SV059),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,35884,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 6 (Iridium SV006),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,780,0.00028,100.4,689,556,1400,35556,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 60 (Iridium SV060),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35884,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 61 (Iridium SV061),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35879,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35892,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 63 (Iridium SV063),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35892,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35892,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35892,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,LEO,Polar,776,779,0.00021,100.4,689,556,1400,35892,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,www.satellitedebris.net 12/12,NaN,1.507964474
